iter	Passed	Remaining
455	848	1012
456	850	1010
457	852	1008
458	853	1006
459	855	1003
460	856	1001
461	858	999
462	859	996
463	861	994
464	863	993
465	864	991
466	866	988
467	868	986
468	869	984
469	871	982
470	872	980
471	873	977
472	875	975
473	877	973
474	878	970
475	879	968
476	881	966
477	882	964
478	884	961
479	886	960
480	887	957
481	889	955
482	890	953
483	892	951
484	894	949
485	895	947
486	897	944
487	898	942
488	899	940
489	901	938
490	903	936
491	904	934
492	906	932
493	907	930
494	909	928
495	911	925
496	912	923
497	914	921
498	915	918
499	916	916
500	917	913
501	918	911
502	920	909
503	922	907
504	923	905
505	925	903
506	926	901
507	928	898
508	930	897
509	931	894
510	932	892
511	934	890
512	935	888
513	937	886
514	938	884
515	940	881
516	941	879
517	943	877
518	944	875
519	945	873
520	947	870
521	948	868
522	950	866
523	951	864
524	953	862
525	954	860
526	956	858
527	958	856
528	959	854
529	960	851
530	961	849
531	963	847
532	964	845
533	966	843
534	967	841
535	969	839
536	971	837
537	972	835
538	974	833
539	975	831
540	976	828
541	978	826
542	979	824
543	981	822
544	982	820
545	984	818
546	985	816
547	987	814
548	988	812
549	990	810
550	991	807
551	992	805
552	994	803
553	996	801
554	997	799
555	998	797
556	1000	795
557	1001	793
558	1003	791
559	1004	789
560	1005	787
561	1007	785
562	1008	783
563	1010	781
564	1011	779
565	1013	776
566	1014	774
567	1016	773
568	1017	770
569	1018	768
570	1020	766
571	1021	764
572	1023	762
573	1024	760
574	1026	758
575	1027	756
576	1029	754
577	1031	752
578	1032	750
579	1034	749
580	1035	746
581	1036	744
582	1038	742
583	1039	740
584	1041	738
585	1042	736
586	1044	734
587	1045	732
588	1046	730
589	1048	728
590	1049	726
591	1050	724
592	1052	722
593	1053	720
594	1055	718
595	1057	716
596	1058	714
597	1060	712
598	1061	710
599	1062	708
600	1063	706
601	1065	704
602	1066	702
603	1068	700
604	1070	698
605	1071	696
606	1073	694
607	1075	693
608	1076	691
609	1077	688
610	1078	686
611	1080	684
612	1081	683
613	1083	681
614	1085	679
615	1086	677
616	1088	675
617	1089	673
618	1090	671
619	1092	669
620	1093	667
621	1095	665
622	1096	663
623	1098	661
624	1099	659
625	1101	658
626	1103	656
627	1104	654
628	1105	652
629	1107	650
630	1108	648
631	1109	646
632	1111	644
633	1113	642
634	1115	640
635	1116	639
636	1118	637
637	1119	635
638	1121	633
639	1122	631
640	1123	628
641	1124	627
642	1125	625
643	1127	623
644	1129	621
645	1130	619
646	1131	617
647	1132	615
648	1134	613
649	1135	611
650	1136	609
651	1138	607
652	1139	605
653	1140	603
654	1141	601
655	1143	599
656	1143	597
657	1145	595
658	1145	592
659	1147	591
660	1149	589
661	1150	587
662	1152	585
663	1154	584
664	1155	582
665	1157	580
666	1158	578
667	1160	576
668	1161	574
669	1163	573
670	1164	570
671	1165	569
672	1167	567
673	1169	565
674	1170	563
675	1172	561
676	1173	560
677	1175	558
678	1177	556
679	1178	554
680	1179	552
681	1181	550
682	1182	549
683	1184	547
684	1185	545
685	1187	543
686	1188	541
687	1190	539
688	1192	538
689	1193	536
690	1194	534
691	1195	532
692	1197	530
693	1199	528
694	1200	526
695	1202	525
696	1204	523
697	1205	521
698	1207	519
699	1208	518
700	1210	516
701	1212	514
702	1214	512
703	1215	511
704	1217	509
705	1219	507
706	1220	505
707	1221	503
708	1222	501
709	1223	499
710	1225	498
711	1226	496
712	1228	494
713	1230	492
714	1231	490
715	1233	489
716	1234	487
717	1235	485
718	1236	483
719	1238	481
720	1240	479
721	1241	478
722	1243	476
723	1244	474
724	1246	472
725	1248	471
726	1249	469
727	1250	467
728	1251	465
729	1252	463
730	1253	461
731	1255	459
732	1257	458
733	1259	456
734	1260	454
735	1262	452
736	1263	450
737	1264	449
738	1265	447
739	1266	445
740	1268	443
741	1270	441
742	1271	439
743	1273	438
744	1275	436
745	1276	434
746	1278	432
747	1279	431
748	1280	429
749	1282	427
750	1283	425
751	1285	423
752	1287	422
753	1288	420
754	1289	418
755	1291	416
756	1293	415
757	1294	413
758	1295	411
759	1297	409
760	1298	407
761	1300	406
762	1301	404
763	1303	402
764	1304	400
765	1306	399
766	1307	397
767	1309	395
768	1310	393
769	1311	391
770	1313	390
771	1315	388
772	1316	386
773	1318	384
774	1319	383
775	1321	381
776	1323	379
777	1324	377
778	1325	375
779	1326	374
780	1327	372
781	1329	370
782	1331	368
783	1332	367
784	1334	365
785	1335	363
786	1337	361
787	1338	360
788	1340	358
789	1341	356
790	1342	354
791	1344	353
792	1346	351
793	1347	349
794	1349	347
795	1350	346
796	1352	344
797	1353	342
798	1355	340
799	1356	339
800	1358	337
801	1360	335
802	1361	334
803	1363	332
804	1364	330
805	1366	328
806	1367	327
807	1368	325
808	1370	323
809	1371	321
810	1373	320
811	1374	318
812	1376	316
813	1377	314
814	1379	313
815	1380	311
816	1381	309
817	1382	307
818	1383	305
819	1385	304
820	1387	302
821	1388	300
822	1389	298
823	1391	297
824	1392	295
825	1394	293
826	1396	292
827	1397	290
828	1399	288
829	1401	286
830	1402	285
831	1404	283
832	1405	281
833	1407	280
834	1408	278
835	1410	276
836	1411	274
837	1412	273
838	1414	271
839	1415	269
840	1417	267
841	1418	266
842	1420	264
843	1421	262
844	1423	261
845	1424	259
846	1425	257
847	1426	255
848	1427	253
849	1429	252
850	1430	250
851	1432	248
852	1433	247
853	1435	245
854	1437	243
855	1438	242
856	1439	240
857	1440	238
858	1442	236
859	1443	235
860	1445	233
861	1446	231
862	1448	229
863	1449	228
864	1451	226
865	1452	224
866	1454	223
867	1455	221
868	1456	219
869	1458	217
870	1460	216
871	1461	214
872	1463	212
873	1464	211
874	1466	209
875	1468	207
876	1469	206
877	1470	204
878	1471	202
879	1473	200
880	1474	199
881	1476	197
882	1477	195
883	1479	194
884	1480	192
885	1482	190
886	1483	189
887	1485	187
888	1486	185
889	1488	183
890	1489	182
891	1491	180
892	1493	178
893	1494	177
894	1496	175
895	1497	173
896	1499	172
897	1500	170
898	1502	168
899	1504	167
900	1505	165
901	1507	163
902	1509	162
903	1510	160
904	1512	158
905	1513	157
906	1514	155
907	1516	153
908	1517	151
909	1519	150
910	1520	148
911	1522	146
912	1523	145
913	1524	143
914	1526	141
915	1528	140
916	1529	138
917	1530	136
918	1532	135
919	1533	133
920	1534	131
921	1536	130
922	1538	128
923	1539	126
924	1541	124
925	1543	123
926	1544	121
927	1545	119
928	1546	118
929	1548	116
930	1549	114
931	1551	113
932	1552	111
933	1554	109
934	1555	108
935	1557	106
936	1558	104
937	1559	103
938	1561	101
939	1563	99
940	1565	98
941	1566	96
942	1567	94
943	1569	93
944	1571	91
945	1572	89
946	1574	88
947	1575	86
948	1577	84
949	1578	83
950	1580	81
951	1581	79
952	1583	78
953	1585	76
954	1586	74
955	1588	73
956	1589	71
957	1591	69
958	1593	68
959	1594	66
960	1596	64
961	1597	63
962	1599	61
963	1600	59
964	1601	58
965	1602	56
966	1603	54
967	1605	53
968	1607	51
969	1608	49
970	1610	48
971	1612	46
972	1613	44
973	1614	43
974	1615	41
975	1616	39
976	1618	38
977	1619	36
978	1620	34
979	1622	33
980	1624	31
981	1625	29
982	1627	28
983	1628	26
984	1630	24
985	1631	23
986	1632	21
987	1634	19
988	1635	18
989	1637	16
990	1639	14
991	1640	13
992	1642	11
993	1643	9
994	1644	8
995	1646	6
996	1648	4
997	1649	3
998	1651	1
999	1653	0
